day,floret,treatment,time,length (mm),ZT
3,1,WestHeat,9:45,9.599111111,3.25
3,2,WestHeat,9:45,9.573144444,3.25
3,3,WestHeat,9:45,9.9289,3.25
3,1,WestHeat,10:00,9.982836815,3.5
3,2,WestHeat,10:00,9.700197747,3.5
3,3,WestHeat,10:00,9.555465996,3.5
5,1,East,5:30,6.955184256,-1
5,2,East,5:30,6.84616299,-1
5,3,East,5:30,6.876291111,-1
5,1,East,5:45,6.962103725,-0.75
5,2,East,5:45,6.935563572,-0.75
5,3,East,5:45,6.826827825,-0.75
5,1,East,6:00,6.904606542,-0.5
5,2,East,6:00,6.983353696,-0.5
5,3,East,6:00,7.051396679,-0.5
5,1,East,6:15,6.79186296,-0.25
5,2,East,6:15,6.831912454,-0.25
5,3,East,6:15,6.772621494,-0.25
5,1,East,6:30,7.010407388,0
5,2,East,6:30,7.285016997,0
5,3,East,6:30,6.951844244,0
5,1,East,6:45,7.086746578,0.25
5,2,East,6:45,6.969857798,0.25
5,3,East,6:45,7.113272567,0.25
5,1,East,7:00,6.8833,0.5
5,2,East,7:00,7.06401,0.5
5,3,East,7:00,7.1706,0.5
5,1,East,7:15,6.912443396,0.75
5,2,East,7:15,7.222386792,0.75
5,3,East,7:15,7.030603774,0.75
5,1,East,7:30,7.30541,1
5,2,East,7:30,7.29004,1
5,3,East,7:30,6.962,1
5,1,East,7:45,7.2725,1.25
5,2,East,7:45,7.200625,1.25
5,3,East,7:45,6.935633929,1.25
5,1,East,8:00,7.503003741,1.5
5,2,East,8:00,7.636676471,1.5
5,3,East,8:00,7.958464218,1.5
5,1,East,8:15,8.914470588,1.75
5,2,East,8:15,9.030107843,1.75
5,3,East,8:15,8.920323529,1.75
5,1,East,8:30,9.165721154,2
5,2,East,8:30,9.080413462,2
5,3,East,8:30,9.153557692,2
5,1,East,8:45,9.272235294,2.25
5,2,East,8:45,9.418068627,2.25
5,3,East,8:45,9.238147059,2.25
5,1,East,9:00,9.698184211,2.5
5,2,East,9:00,9.685333333,2.5
